 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007,1.14,1.31,1.27,1.44,-0.14,2.1,1.18,1.82,0.91,0.93,2.19,2.61,2.34,3,2.11,2.92,2.88,2.4,2.47,3.02,1.23,-0.33,1.79,2.09,0.45
199008,-10.67,-12.07,-10.34,-9.47,-9.89,-12.51,-9.96,-11.75,-11.07,-10.44,-13.88,-12.43,-13.08,-11.82,-12.3,-11.28,-11.46,-11.73,-12.35,-12.01,-9.24,-10.13,-9.08,-9.1,-9.93
199009,-9.88,-7.98,-8.56,-7.22,-8.18,-10.94,-10.25,-9.1,-8.37,-9.04,-12.18,-11.3,-11.76,-11.78,-12.18,-12.94,-11.09,-12.27,-13.06,-12.96,-11.33,-11.37,-10.64,-10.35,-12.32
199010,-0.34,-1.08,0.05,-1.78,-2.99,5.21,1.45,1.45,1.66,-0.04,11.7,8.67,7.39,7.44,6.72,11.44,8.36,10.73,9.47,9.64,9.56,16.04,10.13,8.19,9.72
199011,-0.48,-0.14,0.08,-0.53,0.55,-3.01,0.15,-0.61,0.1,-0.05,-7.16,-3.19,-3.04,-5.32,-3.99,-5.36,-3.73,-4.8,-4.97,-5.45,-1.44,-4.08,-2.28,-1.4,-4.53
199012,-0.5,2.36,0.86,-0.6,0.95,1.25,1.76,1.81,1.68,1.81,2.76,0.98,-0.02,-0.15,0.06,-0.35,1.44,-0.23,0.64,0.83,2.65,3.36,2.76,0.95,0.11
199101,2.25,2.49,2.26,2.05,4.07,-0.04,1.67,1.8,2.77,2.04,0.31,0.73,1.62,-0.62,1.01,0.93,1.74,0.09,1.41,1.95,4.25,3.41,3.13,2.7,4.75
199102,11.63,10.69,9.85,10.04,10.37,13.03,12.48,11.7,9.47,11.45,13.72,12.23,14,13.68,13.03,13.46,11.64,12.48,13.48,12.64,9.3,7.44,7.92,9.23,10.28
199103,4.62,2.52,2.31,2.02,2.96,1.45,-0.06,-0.17,1.04,1.22,0.03,-0.81,-0.77,-1.41,0.43,-0.6,-1.36,-2.64,-1.49,-0.5,-0.83,-2.34,-2.18,-4,-3.45
199104,-0.06,-0.79,0.9,0.1,1.55,0.39,1.35,1.7,-0.18,1.07,0.02,-0.24,0.33,1.6,1.16,-0.15,-0.46,1.05,1.26,1.47,0.52,1.44,1.43,1.14,0.83
199105,1.35,1.44,1.68,0.82,1.18,-0.15,1.29,1.33,1.72,0.53,-0.56,0.6,1.25,1.24,0.69,0.28,0.7,-0.48,1.79,1.35,1.67,1.23,1.6,1.42,1.3
199106,-5.42,-5.31,-4.36,-3.49,-3.95,-5.38,-5.54,-4.22,-4.17,-4.03,-5.04,-5.99,-5.28,-3.73,-4.26,-5.56,-5.22,-5.24,-5.3,-4.76,-5.97,-6.41,-5.75,-6.64,-5.12
199107,1.8,3.3,2.91,3.71,2.54,2.07,3.86,1.38,2.1,2,2.1,3.23,1.98,2.12,2.36,3.3,2.28,2.45,3.21,3.39,5.39,3.33,5.25,4.92,4.06
199108,-0.82,1.28,1.06,1.1,0.66,-1.74,0.8,-0.14,0.05,-0.54,-0.73,-1.44,-2.52,-2.43,-1.9,-2.33,-0.98,-2.89,-2.17,-2.41,0.54,-0.8,-0.38,-1,-1.55
199109,6.06,5.27,4.24,3.69,2.41,3.51,4.02,5,2,2.44,3.75,4.47,4.51,3.58,3.29,5.31,4.3,4.46,5.86,3.59,1.97,3.04,3.3,4.08,3.23
199110,2.33,2.13,1.63,1.17,0.36,2.79,1.44,0.77,1,1,2.47,1.6,1.44,0.81,2.85,2.07,1.23,1.11,0.69,2.02,3.22,2.61,0.86,0.75,1.58
199111,-2.05,-2.04,-2.19,-0.89,-2.35,-3.74,-4.19,-4.73,-3.24,-5.57,-4.34,-5.81,-5.05,-5.48,-6.22,-6,-4.29,-6.81,-5.11,-5.98,-3.11,-4.87,-4.24,-5.12,-6.28
199112,5.24,4.65,3.95,2.33,3.31,6.98,5.11,3.51,3.73,4.62,7.74,6,4.67,4.41,5.58,7.42,5.85,5.47,5.76,5.48,10.69,6.55,5.12,6.47,5.79
199201,3.25,4.22,1.44,2.35,5.77,0.01,1.16,0.19,2.15,3.58,-0.87,0.08,1.04,0.47,2.17,-2.37,-0.43,-0.87,-0.66,1.39,-3.79,-3.69,-2.61,-0.92,0.07
199202,-0.6,0.77,2.05,1.35,3.79,-1.19,0.18,-0.13,0.4,2.18,-1.68,-0.2,-0.95,-0.58,1.85,-1.54,0.05,-0.92,-0.08,-0.29,-2.42,-2.63,-2.4,-1.31,-1.07
199203,-6.77,-4.1,-3.55,-1.92,-1.55,-7.58,-4.75,-3.69,-3.28,-2.54,-6.21,-5.21,-4.83,-4.36,-4.07,-6.01,-4.67,-4.49,-5.38,-5.11,-5.63,-5.98,-4.37,-3.98,-5.29
199204,-5.14,-0.72,1.97,0.45,-0.44,-3.92,-1.79,-1.25,-0.18,-0.81,-3.33,-0.4,-1.3,-1.65,-0.53,-4.06,-0.68,-0.34,0.53,0.88,-1.84,0.32,2.04,1.72,3.42
199205,2.49,3.74,4.8,4.51,3.59,4.83,3.98,4.98,4.7,5.79,4.09,4.75,5.59,4.73,6.14,5.02,5.2,5.39,5.28,5.03,4.23,3.54,4.47,4.55,4.36
199206,-3.68,-2.74,-1.4,-1.59,-2.57,-4.17,-4.05,-3.87,-2.62,-2.75,-4.08,-3.92,-2.36,-3.91,-2.6,-3.8,-3.73,-4.13,-2.38,-3.37,-4.41,-3.11,-3.37,-2.63,-2.99
199207,-1.91,-2.92,-1.01,-3,-1.04,-3.83,-2.22,-2.01,-2.28,-2.16,-1.87,-3.39,-3.57,-1.69,-3.93,-2.05,-1.52,-1.24,-2.27,-4.04,2.22,0.11,0.48,-0.29,-1.92
199208,-1.92,-2.24,-1.05,-0.68,-1.83,-0.57,0.22,2.06,1.55,0.15,1.83,0.65,1.57,1.29,1.68,3.26,3.18,3.26,3.13,2.23,4.91,4.38,1.96,1.23,0.95
199209,0.21,-2.71,-1.56,-3.06,-1.42,-0.06,0,-0.22,-1.67,-1.67,-0.57,-1.44,-1.26,-1.62,-2.56,-2.52,-0.9,-1.71,-1.9,-2.61,-0.9,-1.04,-0.32,-0.92,-1.82
199210,-2.5,-3.87,-3.63,-4.9,-2.58,-2.8,-2.4,-2.86,-2.82,-3.04,-2.39,-3.64,-3.83,-2.43,-2.16,-2.09,-4.42,-3.9,-2.08,-3.03,-1.41,-3.25,-3.63,-3.93,-1.71
199211,4.98,4.35,2.29,1.43,2.77,4,2.66,1.59,0.63,0.88,3.87,1.81,1.01,0.81,0.7,2.93,2.97,1.59,0.86,0.94,2.83,2.75,1.01,0.75,2.64
199212,2.72,2.41,3,3.57,3.3,1.7,2.26,1.41,2,3.26,0.33,3.74,1.73,2.32,2.38,0.04,1.14,1.23,0.45,1.91,-0.56,1.37,1.41,0.83,1.75
199301,1.12,2.08,3.11,2.56,5.85,0.33,2.07,1.43,2.77,3.67,-0.67,2.08,1.18,1.62,1.58,-0.23,0.98,1.39,1.18,1.7,-1.73,0.1,-0.03,1.16,3.48
